,genes,ci_test_results,z_test_results,z_test_p_values,mean_diff
5595,GSX1,False,False,0.8367726726739977,0.32595599779283524
5596,C2orf83,False,False,0.4288713655524158,-0.7458097804517652
5597,POTEB2,False,False,0.3838626775961239,0.7844895257428559
5598,NEU2,False,False,0.9374831112234647,0.1382895565434078
5599,FRMD8,False,False,0.3512801404034833,-3.3891108745517258
5600,CBWD5,False,False,0.05931683191468806,4.792658863503444
5601,PDE3A,False,False,0.6042254252187325,-0.485190640837752
5602,COX7A2,False,False,0.481168976204836,12.360483934482716
5603,RPH3AL,False,False,0.3893253242830663,1.298262361304137
5604,YIF1A,False,False,0.2121754688832218,6.27769027996554
5605,RAVER2,False,False,0.6541468902546124,-0.6766736612379294
5606,HPN,False,False,0.6012304952181268,0.7542206080423481
5607,SUZ12,False,False,0.3511442918507802,1.48639499620689
5608,RNF135,False,False,0.6468402902139819,-0.4188493265310349
5609,SMCO1,False,False,0.29848296111440753,2.397672122457097
5610,FGF4,False,False,0.7019234195039572,0.9536664019189074
5611,FASTKD1,False,False,0.5764548926233881,-0.9910030944620694
5612,FNDC1,False,False,0.6310116871611469,1.0210268108082543
5613,KCNJ4,False,False,0.7450807688582795,0.2233125419079819
5614,LARGE,True,True,0.007371425757162093,5.433967765231031
5615,FAM161A,False,False,0.34618367995919586,0.29411700001943464
5616,PTPN7,True,True,0.019255774990820585,-5.685692792562069
5617,ACP5,False,False,0.8153725022364771,3.4221386055103267
5618,ECHDC2,False,False,0.07745945063487183,-3.2753521289983665
5619,KIAA1033,True,True,0.00018829143603426237,11.472779091896548
5620,GRAP,True,True,6.159169254150371e-08,10.132309349965514
5621,OR2L3,False,False,0.3175206099200396,1.9362280155974045
5622,SNAPC3,False,False,0.2893107665706953,-1.6137630535586194
5623,CLDN16,False,False,0.5508670376859971,1.235264580894139
5624,PIGU,False,False,0.2855683257368654,-3.910860619462074
5625,SPRR1A,False,False,0.5989102853682493,1.576257866644386
5626,PRRX2,False,False,0.8445754024109339,-0.3665281214692522
5627,ADAD2,False,False,0.36647106234061055,1.263524108515163
5628,TMEM87A,False,False,0.496804996897269,-1.602607651241378
5629,IFNK,False,False,0.9985382196158831,-0.003694242755981847
5630,PTAFR,False,False,0.23737884779299934,-4.385321598963312
5631,ZNF831,False,False,0.05703320717653982,-3.724977689813173
5632,SLC2A12,False,False,0.19321964210220766,3.195650151559434
5633,ANXA1,True,True,2.6653335874526427e-05,-136.55976473892952
5634,APOBR,True,True,8.990050530129801e-18,-45.621737328980004
